id,sex,grade,race
ID01,Male,12,White
ID02,Female,12,White
ID03,Female,12,White
ID04,Female,12,White
ID05,Male,12,White
ID06,Female,12,White
ID07,Male,11,Black
ID08,Male,11,White
ID09,Male,11,White
ID10,Female,11,White
ID11,Female,10,White
ID12,Female,10,White
ID13,Male,10,White
ID14,Male,10,White
ID15,Female,10,White
ID16,Male,10,White
ID17,Female,10,White
ID18,Female,10,White
ID19,Female,10,White
ID20,Female,10,White
ID21,Female,10,White
ID22,Female,10,White
ID23,Female,10,White
ID24,Female,10,White
